service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
20,0,0,0,0,0,0,0,20241019,20241213
28,0,0,0,0,0,0,0,20241019,20241213
39,0,0,0,0,0,0,0,20241019,20241213
40,0,0,0,0,0,0,0,20241019,20241213
41,0,0,0,0,0,0,0,20241019,20241213
42,0,0,0,0,0,0,0,20241019,20241213
24,0,0,0,0,0,0,0,20241019,20241213
25,0,0,0,0,0,0,0,20241019,20241213
26,0,0,0,0,0,0,0,20241019,20241213
27,0,0,0,0,0,0,0,20241019,20241213
29,0,0,0,0,0,0,0,20241019,20241213
43,0,0,0,0,0,0,0,20241019,20241213
2,0,0,0,0,0,0,0,20241019,20241213
3,0,0,0,0,0,1,0,20241019,20241213
4,0,0,0,0,0,0,1,20241019,20241213
5,1,1,1,1,1,0,0,20241019,20241213
21,0,0,0,0,0,0,0,20241019,20241213
33,0,0,0,0,0,0,0,20241019,20241213
34,0,0,0,0,0,0,0,20241019,20241213
